site,ido,keido,train,hour,minute,rinji
8,35.86416602,136.1882852,down3,7,48,
9,35.88516998,136.195938,down3,7,47,
10,35.89558136,136.1990239,down3,7,47,
11,35.90843921,136.20189,down3,7,45,
12,35.9223765,136.2070656,down3,7,44,
13,35.93421603,136.2145703,down3,7,44,
14,35.94846303,136.2176757,down3,7,43,
15,35.95411921,136.2170287,down3,7,43,
16,35.9687815,136.215476,down3,7,42,
17,36.00602189,136.2232084,down3,7,40,
18,36.01643618,136.2235517,down3,7,40,
19,36.03156916,136.2189168,down3,7,39,
20,36.04413021,136.2178633,down3,7,38,
21,36.05494258,136.2181561,down3,7,38,
22,36.06046657,136.2220607,down3,7,38,
23,36.06215635,136.2235144,down3,7,38,
24,36.06622689,136.2287961,down3,7,36,
25,36.07190789,136.2329936,down3,7,36,
26,36.08208533,136.2370934,down3,7,35,
27,36.09186705,136.244024,down3,7,35,
28,36.10259398,136.2450978,down3,7,34,
29,36.10961302,136.2446097,down3,7,34,
30,36.11978558,136.2442193,down3,7,33,
31,36.12554155,136.2450002,down3,7,33,
32,36.1353967,136.2489048,down3,7,33,
33,36.15037415,136.2528094,down3,7,32,
34,36.16314214,136.250369,down3,7,31,
35,36.17858705,136.2451954,down3,7,30,
36,36.1894597,136.2416813,down3,7,30,
37,36.20513572,136.2361172,down3,7,29,
38,36.21466584,136.2348483,down3,7,29,
39,36.22513975,136.235922,down3,7,27,
40,36.25497877,136.252907,down3,7,25,
41,36.2996766,136.3170399,down3,7,22,
42,36.31713957,136.3385152,down3,7,21,
43,36.32083619,136.3508146,down3,7,21,
44,36.32382481,136.3657497,down3,7,19,
45,36.32421804,136.3843941,down3,7,18,
46,36.32799296,136.4002077,down3,7,17,
47,36.33860895,136.4188521,down3,7,16,
48,36.35228964,136.4327134,down3,7,15,
49,36.37147,136.4419868,down3,7,14,
50,36.38349462,136.4493079,down3,7,14,
51,36.39944599,136.4526268,down3,7,13,
52,36.40281336,136.4527486,down3,7,13,
53,36.41610106,136.4543839,down3,7,11,
54,36.42968959,136.4625835,down3,7,10,
55,36.44429656,136.4800566,down3,7,10,
56,36.46643737,136.493625,down3,7,8,
57,36.4834705,136.5069983,down3,7,8,
58,36.50842473,136.5352089,down3,7,6,
59,36.5253142,136.5629901,down3,7,5,
60,36.53535544,136.5850922,down3,7,4,
61,36.55283912,136.6205407,down3,7,3,
62,36.56697342,136.6395826,down3,7,2,
63,36.57823804,136.6475734,down3,7,2,
1,35.64539102,136.0768759,down4,8,29,
2,35.65929747,136.0950707,down4,8,28,
3,35.68497762,136.1070751,down4,8,27,
4,35.70317626,136.1146778,down4,8,26,
